"","station","name","LAT","LON","HGHT","interval","alpha","kappa","cat"
"1",10,"STOCKHOLM                               ",59.35,18.05,44,6,2.95114376304614,0.0106692712938142,3
"2",11,"KREMSMUENSTER (TAWES)                   ",48.055,14.1308333333333,382,6,2.9904457422945,-0.0313799137953251,3
"3",13,"INNSBRUCK-UNIV                          ",47.26,11.3841666666667,578,6,2.88890039051907,0.0282315327367326,3
"4",15,"SONNBLICK (TAWES)                       ",47.0541666666667,12.9575,3109,6,2.74533229208404,0.0268838616844344,2
"5",16,"WIEN-HOHE WARTE                         ",48.2483333333333,16.3563888888889,198,6,2.92928942793588,-0.00239913931920389,3
"6",21,"ZAGREB-GRIC                             ",45.8166666666667,15.9780555555556,157,6,2.72319577444585,0.0433453841956484,4
"7",48,"HOHENPEISSENBERG                        ",47.8016666666667,11.0116666666667,977,6,2.88721135467726,-0.0586370686175926,2
"8",49,"JENA STERNWARTE                         ",50.9266666666667,11.5841666666667,155,6,2.79800248448916,0.0364622191351528,4
"9",54,"POTSDAM                                 ",52.3833333333333,13.0638888888889,81,6,2.88792524644922,0.0386606704051673,4
"10",58,"ZUGSPITZE                               ",47.4219444444444,10.9866666666667,2964,6,3.07950376978858,-0.209889393249256,1
"11",64,"BUDAPEST                                ",47.5108333333333,19.0205555555556,153,6,2.75606835408407,0.0211214631955881,4
"12",85,"SANKT-PETERBURG                         ",59.9666666666667,30.3,3,6,3.02144225167527,-0.0305110955107311,2
"13",162,"DE BILT-1                               ",52.1,5.18305555555556,2,6,2.93196646810414,-0.0802752319925994,2
"14",164,"GRONINGEN-1                             ",53.1830555555556,6.6,1,6,2.92960999891418,-0.0186654671427182,3
"15",239,"BASEL BINNINGEN                         ",47.5330555555556,7.58305555555556,316,6,2.83879562407449,0.00166650890789487,3
"16",242,"LUGANO                                  ",46,8.96666666666667,273,6,3.16683857365487,-0.131925612105073,1
"17",243,"SAENTIS                                 ",47.25,9.35,2502,6,2.81904806962605,-0.0097548465141217,3
"18",244,"ZUERICH/FLUNTERN                        ",47.3830555555556,8.56666666666667,555,6,3.11118747081052,-0.150866257590365,1
"19",324,"LINDENBERG                              ",52.2094444444445,14.1202777777778,98,6,2.81527462331647,0.0215176217506805,4
"20",466,"HARNOSAND                               ",62.6330555555556,17.9330555555556,15,6,3.0707113119885,-0.044818583547172,2
"21",786,"MONTELIMAR                              ",44.5808333333333,4.73305555555556,73,6,2.91990998802464,0.0164156042161357,3
"22",849,"PECS POGANY                             ",46.0055555555556,18.2327777777778,203,6,2.82212131398161,-0.00897585088399753,3
"23",851,"SZEGED                                  ",46.2558333333333,20.0902777777778,82,6,2.6876262320449,0.016762600355883,3
"24",852,"DEBRECEN AIRPORT                        ",47.4902777777778,21.6105555555556,108,6,2.73565758657645,0.0664045929826751,4
"25",1422,"BORAS                                   ",57.76,12.95,135,6,3.11595464866497,-0.160638325962544,1
"26",1718,"DUBLIN PHOENIX PARK                     ",53.3638888888889,-6.31916666666667,49,6,3.03918839660262,-0.0562241980983773,2
"27",2042,"SZOMBATHELY                             ",47.1980555555556,16.6477777777778,201,6,2.90784121043482,0.00649368181132472,3
"28",3921,"CACERES CIUDAD                          ",39.4830555555556,-6.36666666666667,459,6,3.25223588716427,-0.051039626554562,2
"29",4002,"OBERSTDORF                              ",47.3988888888889,10.2766666666667,806,6,2.91799345511281,-0.00117830452552295,3
