"","STAID","SOUID","SOUNAME","CN","LAT","LON","HGHT","ELEI","START","STOP","PARID","PARNAME","duration","cat","change"
"1",10,138884,"STOCKHOLM                               ","SE",59.35,18.05,44," RR9","1859-01-01","2022-04-30",56,"Marcus Flarup                                     ",164,4,4
"2",11,102147,"KREMSMUENSTER (TAWES)                   ","AT",48.055,14.1308333333333,382," RR9","1876-01-01","2021-12-31",3,"Wolfgang Lipa                                     ",146,2,3
"4",13,100037,"INNSBRUCK-UNIV                          ","AT",47.26,11.3841666666667,578," RR9","1901-01-01","2021-12-31",3,"Wolfgang Lipa                                     ",121,2,2
"5",15,100041,"SONNBLICK (TAWES)                       ","AT",47.0541666666667,12.9575,3109," RR9","1901-01-01","2021-12-31",3,"Wolfgang Lipa                                     ",121,2,1
"7",16,100043,"WIEN-HOHE WARTE                         ","AT",48.2483333333333,16.3563888888889,198," RR9","1901-01-01","2021-12-31",3,"Wolfgang Lipa                                     ",121,2,4
"9",21,100062,"ZAGREB-GRIC                             ","HR",45.8166666666667,15.9780555555556,157," RR2","1860-12-30","2020-12-30",6,"Tanja Likso                                       ",161,2,3
"10",48,100169,"HOHENPEISSENBERG                        ","DE",47.8016666666667,11.0116666666667,977," RR3","1781-01-01","2022-04-30",11,"National Climate Data Center (DWD)                ",242,2,1
"11",49,100174,"JENA STERNWARTE                         ","DE",50.9266666666667,11.5841666666667,155," RR3","1826-12-01","2022-04-30",11,"National Climate Data Center (DWD)                ",197,3,3
"12",54,100199,"POTSDAM                                 ","DE",52.3833333333333,13.0638888888889,81," RR3","1893-01-01","2022-04-30",11,"National Climate Data Center (DWD)                ",130,3,4
"13",58,100219,"ZUGSPITZE                               ","DE",47.4219444444444,10.9866666666667,2964," RR3","1900-12-31","2022-04-30",11,"National Climate Data Center (DWD)                ",123,2,2
"14",64,100247,"BUDAPEST                                ","HU",47.5108333333333,19.0205555555556,153," RR3","1901-01-01","2020-12-31",13,"Monika Lakatos                                    ",120,2,4
"15",85,100331,"SANKT-PETERBURG                         ","RU",59.9666666666667,30.3,3," RR4","1881-01-01","2019-06-30",15,"Vyacheslav Razuvaev                               ",139,4,1
"16",162,100504,"DE BILT-1                               ","NL",52.1,5.18305555555556,2," RR2","1905-12-31","2022-04-09",19,"Philippe Steeghs                                  ",118,3,3
"18",164,100499,"GRONINGEN-1                             ","NL",53.1830555555556,6.6,1," RR2","1846-12-31","2022-04-09",19,"Philippe Steeghs                                  ",177,3,3
"19",239,100739,"BASEL BINNINGEN                         ","CH",47.5330555555556,7.58305555555556,316,"RR11","1901-01-01","2022-04-30",32,"Gergely Rigo                                      ",122,2,2
"20",242,100751,"LUGANO                                  ","CH",46,8.96666666666667,273,"RR11","1901-01-01","2022-04-30",32,"Gergely Rigo                                      ",122,2,2
"21",243,100755,"SAENTIS                                 ","CH",47.25,9.35,2502,"RR11","1901-01-01","2022-04-30",32,"Gergely Rigo                                      ",122,2,4
"22",244,100759,"ZUERICH/FLUNTERN                        ","CH",47.3830555555556,8.56666666666667,555,"RR11","1901-01-01","2022-04-30",32,"Gergely Rigo                                      ",122,2,1
"23",324,102260,"LINDENBERG                              ","DE",52.2094444444445,14.1202777777778,98," RR3","1906-04-01","2022-04-30",11,"National Climate Data Center (DWD)                ",117,3,4
"24",466,139860,"HARNOSAND                               ","SE",62.6330555555556,17.9330555555556,15," RR9","1868-01-01","2022-04-30",56,"Marcus Flarup                                     ",155,5,2
"25",786,104108,"MONTELIMAR                              ","FR",44.5808333333333,4.73305555555556,73," RR9","1920-08-17","2020-12-31",10,"Jean-Michel Soubeyroux                            ",101,1,3
"26",849,152445,"PECS POGANY                             ","HU",46.0055555555556,18.2327777777778,203," RR3","1901-01-01","2020-12-31",13,"Monika Lakatos                                    ",120,2,3
"27",851,152450,"SZEGED                                  ","HU",46.2558333333333,20.0902777777778,82," RR3","1901-01-01","2020-12-31",13,"Monika Lakatos                                    ",120,2,4
"28",852,152440,"DEBRECEN AIRPORT                        ","HU",47.4902777777778,21.6105555555556,108," RR3","1901-01-01","2020-12-31",13,"Monika Lakatos                                    ",120,2,3
"29",1422,138226,"BORAS                                   ","SE",57.76,12.95,135," RR9","1884-01-01","2022-04-30",56,"Marcus Flarup                                     ",139,4,2
"30",1718,100454,"DUBLIN PHOENIX PARK                     ","IE",53.3638888888889,-6.31916666666667,49," RR3","1867-01-01","2022-02-28",17,"Conor Daly                                        ",156,3,2
"31",2042,152455,"SZOMBATHELY                             ","HU",47.1980555555556,16.6477777777778,201," RR3","1901-01-01","2020-12-31",13,"Monika Lakatos                                    ",120,2,4
"32",3921,119927,"CACERES CIUDAD                          ","ES",39.4830555555556,-6.36666666666667,459," RR3","1920-01-01","2022-04-30",31,"Roser Botey Fullat                                ",103,1,3
"33",4002,121114,"OBERSTDORF                              ","DE",47.3988888888889,10.2766666666667,806," RR3","1910-01-01","2022-04-30",11,"National Climate Data Center (DWD)                ",113,2,3
